,hit,stay,optimal
"(0, 1)",-0.18186688,-0.37242782,hit
"(0, 2)",-0.14674273,-0.46566844,hit
"(0, 3)",-0.11161876,-0.55890906,hit
"(0, 4)",-0.0764949,-0.6521497,hit
"(0, 5)",-0.04137084,-0.74539036,hit
"(0, 6)",-0.0062469244,-0.8386309,hit
"(0, 7)",0.028877288,-0.9318715,hit
"(0, 8)",0.064000964,-1.0251124,hit
"(0, 9)",0.09912485,-1.1183531,hit
"(0, 10)",0.13424891,-1.2115935,hit
"(1, 1)",-0.20243675,-0.31782275,hit
"(1, 2)",-0.16731268,-0.41106337,hit
"(1, 3)",-0.13218877,-0.50430405,hit
"(1, 4)",-0.097064674,-0.5975445,hit
"(1, 5)",-0.06194073,-0.6907851,hit
"(1, 6)",-0.026816756,-0.7840259,hit
"(1, 7)",0.00830707,-0.87726647,hit
"(1, 8)",0.043430954,-0.97050714,hit
"(1, 9)",0.078555346,-1.0637479,hit
"(1, 10)",0.11367899,-1.1569885,hit
"(2, 1)",-0.22215688,-0.261681,hit
"(2, 2)",-0.1878826,-0.35645828,hit
"(2, 3)",-0.15275854,-0.44969893,hit
"(2, 4)",-0.11763471,-0.54293954,hit
"(2, 5)",-0.08251065,-0.63618016,hit
"(2, 6)",-0.047386646,-0.7294207,hit
"(2, 7)",-0.012262732,-0.82266146,hit
"(2, 8)",0.02286145,-0.915902,hit
"(2, 9)",0.057985306,-1.0091428,hit
"(2, 10)",0.09310901,-1.1023835,hit
"(3, 1)",-0.24071419,-0.203436,stay
"(3, 2)",-0.20845246,-0.30185318,hit
"(3, 3)",-0.17332858,-0.3950938,hit
"(3, 4)",-0.13820457,-0.48833448,hit
"(3, 5)",-0.10308051,-0.5815749,hit
"(3, 6)",-0.06795636,-0.6748156,hit
"(3, 7)",-0.032832474,-0.76805615,hit
"(3, 8)",0.0022911727,-0.8612971,hit
"(3, 9)",0.037415355,-0.95453763,hit
"(3, 10)",0.07253927,-1.0477785,hit
"(4, 1)",-0.23422873,-0.17494588,stay
"(4, 2)",-0.22758406,-0.2446469,hit
"(4, 3)",-0.19389841,-0.34048873,hit
"(4, 4)",-0.15877435,-0.43372935,hit
"(4, 5)",-0.12365043,-0.52697,hit
"(4, 6)",-0.08852622,-0.6202105,hit
"(4, 7)",-0.053402245,-0.7134509,hit
"(4, 8)",-0.018278569,-0.8066918,hit
"(4, 9)",0.016845852,-0.8999325,hit
"(4, 10)",0.05196947,-0.99317324,hit
"(5, 1)",-0.23422873,-0.17494588,stay
"(5, 2)",-0.24202454,-0.1868824,stay
"(5, 3)",-0.214454,-0.2858578,hit
"(5, 4)",-0.17934418,-0.37912428,hit
"(5, 5)",-0.14422041,-0.4723649,hit
"(5, 6)",-0.10909623,-0.5656055,hit
